,Player,Nation,Pos,Squad,League,Value,Value_num,Age,Launched.Cmp%,Passes.Launch%,Passes.AvgLen,Goal Kicks.Launch%,Goal Kicks.AvgLen,Total.Att,Total.Cmp%,Total.Dist,Total.PrgDist,Short.Att,Short.Cmp%,Medium.Att,Medium.Cmp%,Advance_Cluster
71,Mattia Perin,it ITA,GK,Genoa,Italy, £7.20m,7200000.0,26.0,35.8,56.8,44.6,51.9,44.1,35.0,62.0,714.8,470.4,0.19,100.0,10.6,99.1,2
72,Matz Sels,be BEL,GK,Strasbourg,France, £5.85m,5850000.0,27.0,44.6,53.9,43.9,67.0,53.9,31.4,67.7,785.3,541.2,0.07,50.0,8.11,100.0,2
73,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,Spain, £1.08m,1080000.0,35.0,53.2,32.7,32.9,71.0,48.6,35.2,79.3,857.9,511.8,0.08,100.0,14.7,99.0,0
74,Mike Maignan,fr FRA,GK,Lille,France, £15.75m,15750000.0,23.0,37.2,49.1,41.7,74.5,58.8,27.2,64.4,602.1,436.2,0.14,75.0,7.75,99.5,2
75,Nick Pope,eng ENG,GK,Burnley,England,£8.55m,8550000.0,27.0,31.1,73.0,54.4,90.8,70.0,31.1,45.4,645.0,509.6,0.05,50.0,3.47,97.0,1
76,Oliver Baumann,de GER,GK,Hoffenheim,Germany, £4.95m,4950000.0,29.0,37.4,32.0,32.7,39.2,36.7,43.4,77.7,849.9,482.2,0.67,100.0,21.1,99.5,0
77,Pau López,es ESP,GK,Roma,Italy, £17.10m,17100000.0,24.0,46.9,34.8,33.6,37.5,35.4,33.0,78.7,728.1,428.5,0.13,75.0,13.6,98.6,0
78,Paul Bernardoni,fr FRA,GK,Nîmes,France, £4.95m,4950000.0,22.0,32.9,51.2,42.4,77.3,55.4,28.8,60.4,595.0,393.1,0.12,66.7,7.31,99.4,2
79,Paulo Gazzaniga,ar ARG,GK,Tottenham,England,£2.52m,2520000.0,27.0,29.7,45.7,38.9,72.1,58.0,28.8,61.8,540.9,349.9,0.0,,10.4,99.5,1
80,Pepe Reina,es ESP,GK,Aston Villa,England,£585Th.,585000.0,36.0,49.3,54.3,42.4,69.9,49.3,32.9,68.9,842.3,572.9,0.33,75.0,8.17,99.0,2
81,Péter Gulácsi,hu HUN,GK,RB Leipzig,Germany, £8.55m,8550000.0,29.0,41.5,30.5,33.1,35.4,35.2,39.6,80.0,854.8,476.4,0.22,100.0,18.4,99.3,0
